Компания,Сайт,Email,Имя ЛПР,Персонализация,Тип факта,Источник,Цитата-подтверждение,Способ,Примечание
VOS-Мебель,https://vosmebel.ru/,info@vos-mebel.ru,,Судя по описанию сайта: Производство мебели | Главна страница VOS-MEBEL | Качественно и не дорого.,profile,https://vosmebel.ru/,Производство мебели | Главна страница VOS-MEBEL | Качественно и не дорого,факты с сайта,
ООО Транссвязь,https://www.midland-rus.ru/,info@midland-rus.ru,,"У вас в новостях: «Наша компания поставила рации Comrade R5, Comrade R6, Turbosky t8, Turbosky t7 для множества больниц, медучреждений, в стационары и клинические больницы».",news,https://www.midland-rus.ru/,"Наша компания поставила рации Comrade R5, Comrade R6, Turbosky t8, Turbosky t7 для множества больниц, медучреждений, в стационары и клинические больницы",факты с сайта,
ООО Рось,https://mebel-ros.ru/,info@mebel-ros.ru,,"Увидел, что вы ищете человека на позицию «Дизайнер-консультант/Менеджер по продажам».",hiring,https://saratov.hh.ru/vacancy/135435079,Дизайнер-консультант/Менеджер по продажам,факты с сайта,
TECHNO GROUP,https://stanki.techno-tg.ru/,info@techno-tg.ru,,"Заметил у вас направление «Станки для изготовления мебели от производителя на 20% ниже рынка». Производство в Ставрополе, на рынке с 2000 года.",product,https://stanki.techno-tg.ru/,Станки для изготовления мебели от производителя на 20% ниже рынка || склада в Ставрополе | С 2000 год,факты с сайта,
ООО РАЗМЕР,https://razmergroup.ru/,info@razmergroup.ru,,Заметил у вас направление «Разумные механические решения для эффективного производства».,product,https://razmergroup.ru/,Разумные механические решения для эффективного производства,факты с сайта,
ООО А Сталь,https://asteel.pro/,info@asteel.pro,,Заметил у вас направление «металлопроката». На рынке с 2006 года.,product,https://asteel.pro/,металлопроката || на рынке с 2006 год,факты с сайта,
ООО Эммарк,https://solidcamrus.ru/,solidcam@inbox.ru,,"Судя по сайту, на рынке с 2014 года.",scale,https://solidcamrus.ru/,с 2014 год,факты с сайта,
ООО Специнструмент-НН,https://reezo.ru/,info@reezo.ru,,Заметил у вас направление «Каталоги продукции».,product,https://reezo.ru/,Каталоги продукции,факты с сайта,
PROLab,https://prolab.team/,info@prolab.team,,"Увидел, что вы ищете человека на позицию «Менеджер по продажам».",hiring,https://saratov.hh.ru/vacancy/135160059,Менеджер по продажам,факты с сайта,
ООО Тепловые Системы,https://tepsys.ru/,info@tepsys.ru,,Заметил у вас направление «разработка • производство • установка • обслуживание ПЖД и автономных воздушных отопителей». На рынке с 2018 года.,product,https://tepsys.ru/,разработка • производство • установка • обслуживание ПЖД и автономных воздушных отопителей || с 2018 г.,факты с сайта,
ООО ПК Анеко,https://aneko.ru/,sales@aneko.ru,,Заметил у вас направление «Изготовление устьевого оборудования для нефтегазовых скважин».,product,https://aneko.ru/,Изготовление устьевого оборудования для нефтегазовых скважин,факты с сайта,
ООО СНД,https://vsestanki.tech/,info@cnd-all.ru,,У вас в новостях: «Металлообрабатывающие станки». У вас направление «Металлообрабатывающие станки».,news,https://vsestanki.tech/,Металлообрабатывающие станки || Металлообрабатывающие станки,факты с сайта,
SAVINSNAME,https://savinsname.ru/,help@savinsname.ru,,У вас в новостях: «Запускаем очень крутую акцию!». У вас направление «Фрезерные станки с ЧПУ START».,news,https://savinsname.ru/,Запускаем очень крутую акцию! || Фрезерные станки с ЧПУ START,факты с сайта,
DiAR-Engineering (ООО Медикал-Сервис),https://diar-engineering.ru/,sales@diar-engineering.ru,,Заметил у вас направление «Пищевое оборудование под ключ».,product,https://diar-engineering.ru/,"Пищевое оборудование ""под ключ""",факты с сайта,
ВИЛЛМЕД,https://willmed.ru/,zakaz@willmed.ru,,"У вас в новостях: «Краснодарский край, г. Краснодар, ул. Морская, 15». У вас направление «ПРОИЗВОДСТВЕННЫЙ КОМПЛЕКС ВИЛЛМЕД».",news,https://willmed.ru/,"Краснодарский край, г. Краснодар, ул. Морская, 15 || ПРОИЗВОДСТВЕННЫЙ КОМПЛЕКС ВИЛЛМЕД",факты с сайта,
